;CD1_D2_up;CD1_D2_do;CD1_D3_up;CD1_D3_do;CD1_D4_up;CD1_D4_do;CD2_D3_up;CD2_D3_do;CD2_D4_up;CD2_D4_do;CD3_D4_up;CD3_D4_do;HSD1_D2_up;HSD1_D2_do;HSD1_D3_up;HSD1_D3_do;HSD1_D4_up;HSD1_D4_do;HSD2_D3_up;HSD2_D3_do;HSD2_D4_up;HSD2_D4_do;HSD3_D4_up;HSD3_D4_do;RAD1_D2_up;RAD1_D2_do;RAD1_D3_up;RAD1_D3_do;RAD1_D4_up;RAD1_D4_do;RAD2_D3_up;RAD2_D3_do;RAD2_D4_up;RAD2_D4_do;RAD3_D4_up;RAD3_D4_do;abund_Total;log10;Kingdom;Phylum;Class;Order;Family;Genus;Species
OTU-46;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14058;4.147923539;k_Bacteria;p_Bacteroidetes;c_Flavobacteriia;o_Flavobacteriales;f_Cryomorphaceae;g_Fluviicola;s_
OTU-47125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1789;3.252610341;k_Bacteria;p_Gemmatimonadetes;c_Gemm-3;o_;f_;g_;s_
OTU-48;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;71525;4.854457866;k_Bacteria;p_Bacteroidetes;c_Cytophagia;o_Cytophagales;f_Cytophagaceae;g_;s_
OTU-48504;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2662;3.425208051;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Veillonellaceae;g_;s_
OTU-48587;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1115;3.047274867;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Clostridium;s_
OTU-487;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5518;3.741781696;k_Bacteria;p_Planctomycetes;c_Planctomycetia;o_Pirellulales;f_Pirellulaceae;g_;s_
OTU-48765;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;634;2.802089258;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Clostridium;s_
OTU-49;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7203;3.857513415;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Alteromonadales;f_211ds20;g_;s_
OTU-49268;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;766;2.88422877;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Ruminococcaceae;g_Clostridium;s_hungatei
OTU-49394;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1354;3.131618664;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;_;s_
OTU-5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;84722;4.927996199;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Actinomycetales;f_Micromonosporaceae;g_;s_
OTU-50237;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1083;3.034628457;k_Bacteria;p_Acidobacteria;c_Solibacteres;o_Solibacterales;f_AKIW659;g_;s_
OTU-52;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21063;4.323520228;k_Bacteria;p_Bacteroidetes;c_Sphingobacteriia;o_Sphingobacteriales;f_Sphingobacteriaceae;g_Pedobacter;s_
OTU-52205;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;742;2.870403905;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Clostridium;s_
